Province,District,DATIM_Site_Name,Support Mechanism,Facility IP,E-HR Status,Site Classification,Recency District,Facility,DATIM Site Name,DATIM Org ID,Facility ID,Province Code,District Code,Ownership,Location,Level,Status
Bulawayo,Bulawayo,Cowdray Park - 100348 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Bulawayo,Cowdray Park Clinic,Cowdray Park - 100348 - Clinic,AQUWX00pVHC,ZW090A27,ZW09,,Town/City Council,Urban,Primary,Open
MASHONALAND CENTRAL,Mazowe,Concession  - 100345 - District Hospital,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mazowe,CONCESSION,Concession  - 100345 - District Hospital,SihUCg36v0Y,ZW02040A,ZW02,,Gvt,Urban,Secondary,Open
MANICALAND,Chipinge,Clear Water - 100341 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Chipinge,Clearwater Clinic,Clear Water - 100341 - Clinic,hLbmGUUNsKW,ZW010362,ZW01,,Private,Rural,Primary,Open
MASHONALAND WEST,Hurungwe,Chundu - 100334 - Council Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Hurungwe,Chundu Clinic,Chundu - 100334 - Council Clinic,YcnSBJxA8OR,ZW040226,ZW04,,Rural Council,Rural,Primary,Open
MASHONALAND CENTRAL,Mazowe,Christon Bank - 100332 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mazowe,Christon Bank,Christon Bank - 100332 - Clinic,FOS62YkMuso,ZW020430,ZW02,,Council,Farming,Primary,Open
MASVINGO,Chiredzi,Chizvirizvi - 100329 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Chiredzi,Chizvirizvi Rural Health Centre,Chizvirizvi - 100329 - Clinic,c4XotWaksY0,ZW080204,ZW08,,Government,Rural,Primary,Open
MIDLANDS,Gweru,Chiundura - 100309 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Gweru,Chiwundura Clinic,Chiundura - 100309 - Clinic,UcsFwpVoOEX,ZW070425,ZW07,,Rural Council,Rural,Primary,
MANICALAND,Buhera,Chiweshe - 100324 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Buhera,Chiweshe,Chiweshe - 100324 - Clinic,JXKy9DJE3gm,ZW010131,ZW01,,Rural Council,Rural,Primary,Open
MANICALAND,Mutare,Chiwere - 100323 - Rural Health Centre,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,Chiwere Clinic,Chiwere - 100323 - Rural Health Centre,h22FuA9Lid3,ZW010508,ZW01,,Government,Rural,Primary,Open
MASVINGO,Chivi,Chivi - 100319 - Rural Hospital,PEPFAR,JF kapnek,ACTIVE,Health facility,Chivi,Chivi Rural Hospital,Chivi - 100319 - Rural Hospital,BbcsNsBiQJM,ZW08030B,ZW08,,Government,Rural,Primary,Open
MASVINGO,Chivi,Chivi - 100318 - Mission Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Chivi,Chivi Mission Clinic,Chivi - 100318 - Mission Clinic,ZPy0zZuQJHc,ZW080391,ZW08,,Mission,Rural,Primary,Open
MASVINGO,Chivi,Chivi - 100317 - District Hospital,PEPFAR,JF kapnek,ACTIVE,Health facility,Chivi,Chivi District Hospital,Chivi - 100317 - District Hospital,laeJBf3k7tI,ZW08030A,ZW08,,Government,Rural,Secondary,Open
MASHONALAND WEST,Zvimba,Chivhere - 100314 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Zvimba,Chivhere Rural Health Centre,Chivhere - 100314 - Clinic,NEEMoSMYjkl,ZW040701,ZW04,,Government,Rural,Primary,RURAL
MASHONALAND WEST,Chegutu,Chivero - 100312 - Council Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Chegutu,Chivero Clinic,Chivero - 100312 - Council Clinic,WlGebuwqSYe,ZW040126,ZW04,,Rural Council,Rural,Primary,Open
MASHONALAND WEST,Hurungwe,Chivende - 100311 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Hurungwe,Chivende Rural Health Centre,Chivende - 100311 - Clinic,p5eSg7zH2Ua,ZW040202,ZW04,,Government,Rural,Primary,Open
MATEBELELAND SOUTH,Beitbridge,Chituripasi - 100308 - Rural Health Centre,PEPFAR,OPHID,ACTIVE,Health facility,Beitbridge,Chituripasi,Chituripasi - 100308 - Rural Health Centre,pNbIgW9kn5C,ZW060102,ZW06,,,Urban,,
MASHONALAND CENTRAL,Mbire,Chitsungo - 100303 - District Hospital,PEPFAR,ZACH,ACTIVE,Health facility,Mbire,Chitsungo Mission Hospital,Chitsungo - 100303 - District Hospital,bD6z1vyugsJ,ZW02080B,ZW02,,Mission,Rural,Secondary,Open
MASHONALAND EAST,UMP,Chitsungo - 100304 - Clinic,PEPFAR,GoZ,ACTIVE,Health facility,UMP,Chitsungo Clinic,Chitsungo - 100304 - Clinic,oIYkbx5fHc7,ZW030329,ZW03,,Rural Council,Rural,clinic,Active
MASHONALAND CENTRAL,Mt Darwin,Chitse - 100302 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mt Darwin,CHITSE,Chitse - 100302 - Clinic,ezrtbyWSQiW,ZW020534,ZW02,,COUNCIL,Rural,Primary,Open
MASHONALAND EAST,Murehwa,Chitowa 2 - 100299 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Murewa,Chitowa 2 Clinic,Chitowa 2 - 100299 - Clinic,LHSm0lh6M97,ZW030724,ZW03,,Rural Council,Rural,clinic,Active
MASHONALAND EAST,Murehwa,Chitowa 1 - 100298 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Murewa,Chitowa 1 Clinic,Chitowa 1 - 100298 - Rural Health Centre,aVxN3fDFGhM,ZW030723,ZW03,,Rural Council,Rural,clinic,Active
MASHONALAND EAST,UMP,Chitimbe - 100293 - Clinic,PEPFAR,GoZ,ACTIVE,Health facility,UMP,Chitimbe Clinic,Chitimbe - 100293 - Clinic,VUCULT4GjUW,ZW030328,ZW03,,Rural Council,Rural,clinic,Active
MASHONALAND CENTRAL,Mt Darwin,Chitepo - 100292 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mt Darwin,CHITEPO,Chitepo - 100292 - Clinic,iizFNeVVhBs,ZW020535,ZW02,,COUNCIL,Rural,Primary,Open
MASHONALAND EAST,Murehwa,Chitate - 100290 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Murewa,Chitate Rural Health Centre,Chitate - 100290 - Rural Health Centre,eG8FExPZMv1,ZW030701,ZW03,,Government,Rural,clinic,Active
MASVINGO,Gutu,Chitando - 100287 - Rural Health Centre,PEPFAR,JF kapnek,ACTIVE,Health facility,Gutu,Chitando Rural Health Centre,Chitando - 100287 - Rural Health Centre,lO6DFAvjICL,ZW080408,ZW08,,Government,Rural,Primary,Open
MANICALAND,Mutare,Chitakatira - 100285 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,Chitakatira Clinic,Chitakatira - 100285 - Clinic,RyINk05jngO,ZW010529,ZW01,,Rural Council,Rural,Primary,Open
MASHONALAND CENTRAL,Mbire,Chirunya - 100276 - Rural Health Centre,PEPFAR,ZACH,ACTIVE,Health facility,Mbire,Chirunya Clinic,Chirunya - 100276 - Rural Health Centre,MTFVtgDQ96i,ZW020834,ZW02,,Rural Council,Rural,Primary,Open
MASHONALAND WEST,Hurungwe,Chirundu - 100275 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Hurungwe,Chirundu Rural Health Centre,Chirundu - 100275 - Clinic,xgDkjMab2vS,ZW040201,ZW04,,Government,Rural,Primary,Open
MASVINGO,Mwenezi,Chirindi - 100268 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Mwenezi,Chirindi Rural Health Centre,Chirindi - 100268 - Clinic,KGODrJyUU0d,ZW080602,ZW08,,Government,Rural,Primary,Open
MASHONALAND WEST,Sanyati,Chirikiti - 100267 - Council Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Sanyati,Chirikiti - 100267 - Council Clinic,Chirikiti - 100267 - Council Clinic,zdRJRa8PBvL,ZW040621,ZW04,,,Rural,,
MASVINGO,Chiredzi,Chiredzi - 100264 - Hospital,PEPFAR,JF kapnek,ACTIVE,Health facility,Chiredzi,Chiredzi District Hospital,Chiredzi - 100264 - Hospital,cnqg74tvFv1,ZW08020A,ZW08,,Government,Urban,Secondary,Open
MASVINGO,Zaka,Chiredzana - 100263 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Zaka,Chiredzana Clinic,Chiredzana - 100263 - Clinic,m1d3Az0zvDK,ZW080729,ZW08,,Rural Council,Rural,Primary,Open
MASVINGO,Chiredzi,Chipiwa - 100259 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Chiredzi,Chipiwa Clinic,Chipiwa - 100259 - Clinic,lgDPtblnWoX,ZW080226,ZW08,,Rural Council,Rural,Primary,Open
MANICALAND,Chipinge,Chipinge Town - 100257 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Chipinge,Chipinge Town Clinic,Chipinge Town - 100257 - Clinic,Z3mLXNOy7eM,ZW010349,ZW01,,Town/City Council,Urban,Primary,Open
MANICALAND,Chipinge,Chipinge - 100256 - District Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Chipinge,Chipinge District Hospital,Chipinge - 100256 - District Hospital,ZW01030A,ZW01030A,ZW01,,Government,Urban,Primary,Open
MASHONALAND WEST,Makonde,Chipfuwamiti Clinic,PEPFAR,ZACH,ACTIVE,Health facility,Makonde,Chipfuwamiti Clinic,Chipfuwamiti Clinic,us3vArKUv5J,ZW040491,ZW04,,Rural Council,Rural,Primary,Open
MASHONALAND EAST,UMP,Chipfunde - 100253 - Clinic,PEPFAR,GoZ,ACTIVE,Health facility,UMP,Chipfunde Clinic,Chipfunde - 100253 - Clinic,SDyRVyw5bTp,ZW030327,ZW03,,Rural Council,Rural,clinic,Active
MANICALAND,Mutare,Chipfatsura - 100252 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,Chipfatsura,Chipfatsura - 100252 - Clinic,sySIljgDD4k,ZW010527,ZW01,,Rural Council,Rural,Primary,Open
MANICALAND,Mutare,Chipendeke - 100251 - Rural Health Centre,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,Chipendeke Clinic,Chipendeke - 100251 - Rural Health Centre,gukxzjQHdEA,ZW010544,ZW01,,Government,Rural,Primary,Open
MASHONALAND EAST,Marondera,Chiparawe - 100250 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Marondera,Chipararwe Council Clinic,Chiparawe - 100250 - Clinic,fc6CsjpLvS6,ZW030529,ZW03,,Government,Rural,clinic,Active
MASHONALAND EAST,Marondera,Chiota - 100247 - Rural Hospital,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Marondera,Chiota Rural Hospital,Chiota - 100247 - Rural Hospital,d7gKjgLmPHF,ZW03050B,ZW03,,Government,Rural,Rural Hospital,Active
MASVINGO,Gutu,Chinyika - 100243 - Rural Health Centre,PEPFAR,JF kapnek,ACTIVE,Health facility,Gutu,Chinyika Rural Hospital,Chinyika - 100243 - Rural Health Centre,gQu3bUzI3bn,ZW08040D,ZW08,,Government,Rural,Primary,Open
MASHONALAND EAST,Goromonzi,Chinyika - 100242 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Goromonzi,Chinyika Clinic,Chinyika - 100242 - Clinic,k8Xcni81ZqV,ZW030226,ZW03,,Rural Council,Rural,clinic,Active
MANICALAND,Chipinge,Chinyamukwaka - 100240 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Chipinge,Chinyamukwakwa Rural Health Centre,Chinyamukwaka - 100240 - Clinic,ZW010303,ZW010303,ZW01,,Government,Rural,Primary,Open
MASHONALAND WEST,Makonde,Chinhoyi  - 100235 - Provincial Hospital,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Makonde,Chinhoyi Provincial Hospital,Chinhoyi  - 100235 - Provincial Hospital,Jna4eqryjis,ZW04040A,ZW04,,Government,Urban,Primary,Open
MASHONALAND WEST,Makonde,Chinhoyi Clinic - 100233 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Makonde,Chinhoyi Munic Clinic,Chinhoyi Clinic - 100233 - Clinic,FEkAkg5Ev7k,ZW040461,ZW04,,Town/City Council,Urban,Primary,Open
MASHONALAND WEST,Hurungwe,Chinhere - 100232 - Council Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Hurungwe,Chinhere Clinic,Chinhere - 100232 - Council Clinic,ImqILPZv3dP,ZW040225,ZW04,,RDC,Rural,Primary,Open
MASVINGO,Mwenezi,Chingwizi - 100230 - Satelite Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Mwenezi,Chingwizi Clinic,Chingwizi - 100230 - Satelite Clinic,GUyrKhGPkmB,ZW080608,ZW08,,Government,Rural,Primary,Open
MASHONALAND WEST,Mhondoro,Chingondo - 100229 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mhondoro,Chingondo RDC Clinic,Chingondo - 100229 - Clinic,Psij86nmKUz,ZW040518,ZW04,,Rural Council,Rural,Primary,Open
MIDLANDS,Mberengwa,Chingezi - 100228 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mberengwa,Chingezi Clinic,Chingezi - 100228 - Clinic,rhEss5YJ0lt,ZW070628,ZW07,,Rural Council,Rural,Primary,Open
MASHONALAND WEST,Chegutu,Chinengundu - 100225 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Chegutu,Chinengundu Clinic,Chinengundu - 100225 - Clinic,cie0TDpTUmD,ZW040162,ZW04,,Town/City Council,Urban,Primary,Open
MASHONALAND CENTRAL,Mazowe,Chinehasha - 100224 - Clinic,PEPFAR,ZACH,ACTIVE,Health facility,Mazowe,CHINEHASHA,Chinehasha - 100224 - Clinic,AbdP0AhLQ0K,ZW020401,ZW02,,Gvt,Rural,Primary,Open
MASHONALAND EAST,Goromonzi,Chinamhora - 100219 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Goromonzi,Chinamhora Clinic,Chinamhora - 100219 - Clinic,vts8c377DeQ,ZW030225,ZW03,,Rural Council,Peri-Urban,clinic,Active
MIDLANDS,Gweru,Chinamasa - 100217 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Gweru,Chinamasa Clinic,Chinamasa - 100217 - Clinic,TqCxTt2cnSm,ZW070424,ZW07,,Rural Council,Rural,,Open
MASVINGO,Gutu,Chimombe - 100215 - Rural Hospital,PEPFAR,JF kapnek,ACTIVE,Health facility,Gutu,Chimombe Rural Hospital,Chimombe - 100215 - Rural Hospital,kaYiMIvMi6q,ZW08040B,ZW08,,Government,Rural,Primary,Open
MASHONALAND EAST,Marondera,Chimbwanda - 100212 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Marondera,Chimbwanda Rural Health Centre,Chimbwanda - 100212 - Rural Health Centre,RmTXZhMHgQJ,ZW030502,ZW03,,Rural Council,Rural,clinic,Active
MASVINGO,Mwenezi,Chimbudzi - 100211 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Mwenezi,Chimbudzi Rural Health Centre,Chimbudzi - 100211 - Clinic,bA0TiXkTzDI,ZW080601,ZW08,,Government,Rural,Primary,Open
MASVINGO,Chiredzi,Chilonga - 100206 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Chiredzi,Chilonga Rural Health Centre,Chilonga - 100206 - Clinic,kOc9rm7UnpQ,ZW080202,ZW08,,Government,Rural,Primary,Open
MIDLANDS,Gweru,Child Welfare - 100205 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Gweru,Child Welfare Clinic,Child Welfare - 100205 - Clinic,JRHi4DxHO3h,ZW070469,ZW07,,Town/City Council,Urban,Primary,
MANICALAND,Mutare,Chikwariro - 100201 - Mission Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,Chikwariro Clinic,Chikwariro - 100201 - Mission Hospital,Ju7yjwNpnZc,ZW010591,ZW01,,Mission,Rural,Primary,Open
MASHONALAND EAST,Goromonzi,Chikwaka - 100198 - Rural Hospital,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Goromonzi,Chikwaka Rural Hospital,Chikwaka - 100198 - Rural Hospital,il3zin8lfAX,ZW03020D,ZW03,,Government,Rural,Hospital,Active
MASHONALAND EAST,UMP,Chikuhwa - 100193 - Rural Health Centre,PEPFAR,GoZ,ACTIVE,Health facility,UMP,Chikuhwa Clinic,Chikuhwa - 100193 - Rural Health Centre,XaZlii1RoeN,ZW030326,ZW03,,Rural Council,Rural,clinic,Active
MASHONALAND WEST,Makonde,Chikonohono - 100190 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Makonde,Chikonohono Munic Clinic,Chikonohono - 100190 - Clinic,Sad5NyxeroB,ZW040462,ZW04,,Town/City Council,Urban,Primary,Open
MASVINGO,Chiredzi,Chikombedzi - 100188 - Hospital,PEPFAR,JF kapnek,ACTIVE,Health facility,Chiredzi,Chikombedzi Mission Hospital,Chikombedzi - 100188 - Hospital,ezd2O5cLGKR,ZW08020B,ZW08,,Mission,Rural,Secondary,Open
MANICALAND,Mutare,Chikanga - 100182 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,Chikanga Clinic,Chikanga - 100182 - Clinic,Tj9XAHdTx71,ZW010562,ZW01,,Town/City Council,Urban,Primary,Open
MASHONALAND CENTRAL,Mbire,Chikafa - 100181 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mbire,Chikafa Clinic,Chikafa - 100181 - Clinic,taDfBHcDo5L,ZW020830,ZW02,,Rural Council,Rural,Primary,Open
MIDLANDS,Mberengwa,Chiedza - 100176 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mberengwa,Chiedza Clinic,Chiedza - 100176 - Clinic,dySKWJvcCwO,ZW070640,ZW07,,Rural Council,Rural,Primary,Open
MASHONALAND CENTRAL,Mbire,Chidodo - 100172 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mbire,Chidodo Clinic,Chidodo - 100172 - Clinic,rWvbpl1s0VR,ZW020841,ZW02,,Rural Council,Rural,Primary,Open
MIDLANDS,Mberengwa,Chedembeko - 100151 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mberengwa,Chidembeko Clinic,Chedembeko - 100151 - Clinic,n7JrJFbZSSY,ZW070627,ZW07,,Rural Council,Rural,Primary,Open
MASHONALAND WEST,Hurungwe,Chidamoyo - 100169 - Mission Hospital,PEPFAR,ZACH,ACTIVE,Health facility,Hurungwe,Chidamoyo Mission Hospital,Chidamoyo - 100169 - Mission Hospital,BE3pL9m9Z4E,ZW04020D,ZW04,,Mission,Rural,Primary,Open
MANICALAND,Chipinge,Chibuwe - 100167 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Chipinge,Chibuwe Clinic,Chibuwe - 100167 - Clinic,q8w6UsNPbMG,ZW010325,ZW01,,Rural Council,Rural,Primary,Open
MASHONALAND CENTRAL,Mt Darwin,Chibuli-100291- Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mt Darwin,CHIBULI,Chibuli-100291- Clinic,DDwUEgfOmvA,ZW020509,ZW02,,COUNCIL,Rural,Primary,Open
MIDLANDS,Gokwe South,Cheziya - 100162 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Gokwe South,Cheziya Clinic,Cheziya - 100162 - Clinic,g7fNiqyS7WV,ZW070313,ZW07,,Rural Council,Urban,Primary,
MASVINGO,Gutu,Cheshuro - 100161 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Gutu,Cheshuro Clinic,Cheshuro - 100161 - Clinic,BXwx8ekYJ5Z,ZW080425,ZW08,,Rural Council,Rural,Primary,Open
MIDLANDS,Gokwe South,Chemahororo - 100156 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Gokwe South,Chemahororo Clinic,Chemahororo - 100156 - Clinic,ZsERKMysaqk,ZW070325,ZW07,,Rural Council,Rural,Primary,
MASHONALAND WEST,Chegutu,Chegutu - 100153 - District Hospital,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Chegutu,Chegutu District Hospital,Chegutu - 100153 - District Hospital,IIjgprykVWn,ZW04010A,ZW04,,Government,Urban,Secondary,Open
MASHONALAND WEST,Chegutu,Chegutu Urban - 100155 - Council Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Sanyati,Chegutu 6 - 100154 - Clinic,Chegutu Urban - 100155 - Council Clinic,kfRsOHTYdNb,ZW040626,ZW04,,,Urban,,
MASHONALAND CENTRAL,Mt Darwin,Chawanda - 100146 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mt Darwin,CHAWANDA,Chawanda - 100146 - Clinic,G1nlIWi4Bbv,ZW020525,ZW02,,COUNCIL,Rural,Primary,Open
MASVINGO,Masvingo,Chatikobo - 100144 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Masvingo,Chatikobo Clinic,Chatikobo - 100144 - Clinic,DthvHWxwhl8,ZW080526,ZW08,,RDC,Rural,Primary,Open
MATEBELELAND SOUTH,Beitbridge,Chasvingo - 100143 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Beitbridge,Chaswingo Clinic,Chasvingo - 100143 - Clinic,mzisptcnWiW,ZW060125,ZW06,,Rural Council,Rural,,
MASVINGO,Masvingo,Charumbira - 100141 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Masvingo,Charumbira Clinic,Charumbira - 100141 - Clinic,TmpVq0GSnlG,ZW080525,ZW08,,RDC,Rural,Primary,Open
MANICALAND,Buhera,Chapwanya - 100136 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Buhera,Chapwanya,Chapwanya - 100136 - Clinic,XWTWzUKR92m,ZW010128,ZW01,,Rural Council,Rural,Primary,Open
MASHONALAND CENTRAL,Mbire,Chapoto - 100135 - Clinic,PEPFAR,ZACH,ACTIVE,Health facility,Mbire,Chapoto Clinic,Chapoto - 100135 - Clinic,c4EBHa1fIyB,ZW020820,ZW02,,Rural Council,Rural,Primary,Open
MANICALAND,Buhera,Chapanduka - 100134 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Buhera,Chapanduka,Chapanduka - 100134 - Clinic,Di7OHhpjIr2,ZW010127,ZW01,,Rural Council,Rural,Primary,Open
MATEBELELAND SOUTH,Beitbridge,Chamunangana - 100132 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Beitbridge,Chamnangana Clinic,Chamunangana - 100132 - Clinic,OF8acIjcyKQ,ZW060177,ZW06,,Rural Council,Rural,,
MASHONALAND WEST,Sanyati,Chakari - 100125 - Mine Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Sanyati,Chakari Mine Clinic,Chakari - 100125 - Mine Clinic,sWdIWNMmkKd,ZW040689,ZW04,,Mine,Rural,Primary,Open
MASHONALAND EAST,Goromonzi,Chabwino Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Goromonzi,Chabwino Clinic,Chabwino Clinic,x7uSrjLfBIz,ZW030280,ZW03,,Rural Council,Rural,clinic,Active
Bulawayo,Bulawayo,Cesshar,Global Fund,CESSHAR,ACTIVE,Health facility,Bulawayo,Cesshar,Cesshar,Bnxui2aaMdQ,ZW090A49,ZW09,,Private,Urban,Primary,Open
MASHONALAND EAST,Goromonzi,Caledonia - 100115 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Goromonzi,Caledonia Clinic,Caledonia - 100115 - Clinic,fYwjfliQY2j,ZW000A57,ZW00,,Rural Council,Peri-Urban,clinic,Active
MASVINGO,Zaka,Bvukururu - 100110 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Zaka,Bvukururu Clinic,Bvukururu - 100110 - Clinic,S6noqN7rl9N,ZW080726,ZW08,,Government,Rural,Primary,Open
MASHONALAND CENTRAL,Mt Darwin,Bveke - 100108 - Clinic ,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mt Darwin,BVEKE,Bveke - 100108 - Clinic ,IZyeGpfJoyJ,ZW020529,ZW02,,COUNCIL,Rural,Primary,Open
MATEBELELAND SOUTH,Gwanda,Buvuma - 100107 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Gwanda,Buvuma Clinic,Buvuma - 100107 - Clinic,B7i3EGdTPnj,ZW060325,ZW06,,Rural Council,Rural,,
MASHONALAND WEST,Mhondoro,Bururu - 100105 - Council Clinic,PEPFAR,ZACH,ACTIVE,Health facility,Mhondoro,Bururu - 100105 - Council Clinic,Bururu - 100105 - Council Clinic,Cjt4DyNcEEI,ZW040517,ZW04,,,Rural,,
MANICALAND,Mutare,Burma Valley - 100103 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,Burma Valley Clinic,Burma Valley - 100103 - Clinic,QBQZTIv1lrz,ZW010545,ZW01,,Rural Council,Rural,Primary,Open
MANICALAND,Buhera,Buhera - 100099 - Rural Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Buhera,Buhera Rural Clinic,Buhera - 100099 - Rural Hospital,ZW01010A,ZW01010A,ZW01,,,Rural,,
MATEBELELAND NORTH,Tsholotsho,Bubude - 100096 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Tsholotsho,Bubude Clinic,Bubude - 100096 - Clinic,Kwis9X2t9eb,ZW050625,ZW05,,Town/City Council,Rural,Primary,Open
MASHONALAND WEST,Chegutu,Brunswick - 100094 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Chegutu,Brunswick Clinic,Brunswick - 100094 - Clinic,dMjkmGmNgG9,ZW040180,ZW04,,Rural Council,Peri-Urban,Primary,Open
MASHONALAND EAST,Goromonzi,Bromley - 100093 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Goromonzi,Bromley Clinic,Bromley - 100093 - Rural Health Centre,PKZ7nK4RQnj,ZW030245,ZW03,,Rural Council,Rural,clinic,Active
MASVINGO,Mwenezi,Boterere - 100089 - Rural Health Centre,PEPFAR,JF kapnek,ACTIVE,Health facility,Mwenezi,Boterere Clinic,Boterere - 100089 - Rural Health Centre,XIv6Q7a9F0J,ZW080631,ZW08,,Rural Council,Rural,Primary,Open
MASVINGO,Zaka,Bota - 100088 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Zaka,Bota Clinic,Bota - 100088 - Clinic,Ns9TN1yfjMZ,ZW080725,ZW08,,Mission,Rural,Primary,Open
MASHONALAND EAST,UMP,Borera - 100084 - Clinic,PEPFAR,GoZ,ACTIVE,Health facility,UMP,Borera Clinic,Borera - 100084 - Clinic,UmcQPYAl0m4,ZW030325,ZW03,,Rural Council,Rural,clinic,Active
MASHONALAND EAST,Goromonzi,Border Church - 100083 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Marondera,Border Church Rural Health Centre,Border Church - 100083 - Rural Health Centre,irD497FF3PV,ZW030501,ZW03,,Rural Council,Rural,clinic,Active
MASVINGO,Masvingo,Bondolfi - 100082 - Rural Hospital,PEPFAR,JF kapnek,ACTIVE,Health facility,Masvingo,Bondolfi Clinic,Bondolfi - 100082 - Rural Hospital,shU0JKeINLz,ZW080591,ZW08,,Mission,Rural,Primary,Open
MANICALAND,Mutasa,Bonda - 100080 - Mission Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Mutasa,Bonda Mission Hospital,Bonda - 100080 - Mission Hospital,RKN9HasIGRw,ZW01060B,ZW01,,Mission,Rural,,Open
