Province,District,DATIM_Site_Name,Support Mechanism,Facility IP,E-HR Status,Site Classification,Recency District,Facility,DATIM Site Name,DATIM Org ID,Facility ID,Province Code,District Code,Ownership,Location,Level,Status
HARARE,Harare,Rutsanana - 101491 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Harare,ha Rutsanana PolyClinic,Rutsanana - 101491 - Clinic,WDf2wSPeJPp,ZW000A34,ZW00,,Town/City Council,Urban,Primary,
HARARE,Chitungwiza,Seke North - 101533 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Harare,Seke North Clinic,Seke North - 101533 - Clinic,xjDifmwK0wG,ZW000B02,ZW00,,Town/City Council,Urban,Primary,Open
MIDLANDS,Gweru,Gweru - 100572 - Provincial Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Gweru,Gweru Provincial Hospital,Gweru - 100572 - Provincial Hospital,pQhsTO2zXMS,ZW07040A,ZW07,,Government,Urban,Secondary,
MIDLANDS,Gweru,Gweru- 101883 -District Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Gweru,Gweru District Hospital,Gweru- 101883 -District Hospital,R0AbzHF3tB6,ZW07040B,ZW07,,Government,Urban,Secondary,
MATEBELELAND NORTH,Nkayi,Gwelutshena - 100569 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Nkayi,Gwelutshena Clinic,Gwelutshena - 100569 - Rural Health Centre,htw8zSoHZp1,ZW050533,ZW05,,Government,Rural,Primary,Open
MATEBELELAND SOUTH,Insiza,Gwatemba - 100566 - Rural Health Centre,PEPFAR,OPHID,ACTIVE,Health facility,Insiza,Gwatemba Rural Health Centre,Gwatemba - 100566 - Rural Health Centre,y6M9rtUuWa9,ZW060402,ZW06,,Government,Rural,,
MIDLANDS,Mberengwa,Gwarava - 100565 - Rural Health Centre,PEPFAR,ZHI,ACTIVE,Health facility,Mberengwa,Gwarawa Rural Health Centre,Gwarava - 100565 - Rural Health Centre,l41qggZoaFK,ZW070601,ZW07,,Government,Rural,Primary,Open
MIDLANDS,Gokwe South,Gwanyika - 100562 - Rural Health Centre,PEPFAR,ZHI,ACTIVE,Health facility,Gokwe South,Gwanyika Rural Health Centre,Gwanyika - 100562 - Rural Health Centre,cBe8uJrLNGC,ZW070301,ZW07,,Government,Rural,Primary,
MATEBELELAND NORTH,Lupane,Gwayi Clinic,PEPFAR,ZACH,ACTIVE,Health facility,Lupane,Gwaai Rural Health Centre,Gwayi Clinic,nEvQQz0S9nn,ZW050492,ZW05,,Town/City Council,Rural,Primary,Open
MATEBELELAND NORTH,Nkayi,Guwe - 100560 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Nkayi,Guwe Clinic,Guwe - 100560 - Rural Health Centre,NWqYAWOBoaJ,ZW050532,ZW05,,Town/City Council,Rural,Primary,Open
MASVINGO,Masvingo,Guwa - 100559 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Masvingo,Guwa Rural Health Centre,Guwa - 100559 - Clinic,swgwGmtq9YH,ZW080540,ZW08,,Govt,Rural,Primary,Open
MASVINGO,Gutu,Gutu Rural - 100558 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Gutu,Gutu Rural Hospital,Gutu Rural - 100558 - Clinic,hhrSCqMznTy,ZW08040A,ZW08,,Government,Rural,Primary,Open
MASVINGO,Gutu,Gutu - 100557 - Mission Hospital,PEPFAR,JF kapnek,ACTIVE,Health facility,Gutu,Gutu Mission Hospital,Gutu - 100557 - Mission Hospital,lMPbb0M4NRu,ZW08040E,ZW08,,Mission,Rural,Secondary,Open
MASVINGO,Masvingo,Gurajena - 100551 - Hospital,PEPFAR,JF kapnek,ACTIVE,Health facility,Masvingo,Gurajena Rural Health Centre,Gurajena - 100551 - Hospital,Oqk09GQNE6K,ZW080541,ZW08,,Govt,Rural,Primary,Open
